Title,Awards,Nominations
The Lion in Winter,3,7
Oliver!,6,11
Planet of the Apes,1,2
Robert Kennedy Remembered,1,1
Romeo and Juliet,2,4
Rosemary's Baby,1,2
The Subject Was Roses,1,2
The Thomas Crown Affair,1,2
War and Peace (Voyna i mir),1,2
Why Man Creates,1,1
Winnie the Pooh and the Blustery Day,1,1
A Place to Stand,1,2
The Anderson Platoon (La Section Anderson),1,1
Bonnie and Clyde,2,10
The Box,1,1
Camelot,3,5
Closely Watched Trains (Ostre sledované vlaky),1,1
Cool Hand Luke,1,4
The Dirty Dozen,1,4
Doctor Dolittle,2,9
The Graduate,1,7
Guess Who's Coming to Dinner,2,10
In the Heat of the Night,5,7
The Producers,1,2
The Redwoods,1,1
Thoroughly Modern Millie,1,7
A Herb Alpert and the Tijuana Brass Double Feature,1,1
Born Free,2,2
Fantastic Voyage,2,5
The Fortune Cookie,1,4
A Funny Thing Happened on the Way to the Forum,1,1
Grand Prix,3,3
A Man and a Woman,2,4
A Man for All Seasons,6,8
The War Game,1,1
Who's Afraid of Virginia Woolf?,5,13
Wild Wings,1,1
A Year Toward Tomorrow,1,1
Cat Ballou,1,5
The Chicken (Le Poulet),1,1
Darling,3,5
Doctor Zhivago,5,10
The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics),1,1
The Eleanor Roosevelt Story,1,1
The Great Race,1,5
A Patch of Blue,1,5
The Sandpiper,1,1
Ship of Fools,2,8
The Shop on Main Street (Obchod na korze),1,2
The Sound of Music,5,10
A Thousand Clowns,1,4
Thunderball,1,1
To Be Alive!,1,1
Becket,1,12
Casals Conducts: 1964,1,1
Father Goose,1,3
Goldfinger,1,1
Mary Poppins,5,13
My Fair Lady,8,12
The Night of the Iguana,1,4
Nine from Little Rock,1,1
The Pink Phink,1,1
Topkapi,1,1
World Without Sun (Le Monde sans soleil),1,1
"Yesterday, Today and Tomorrow (Ieri, oggi, domani)",1,1
Zorba the Greek (Alexis Zorbas),3,7
America America,1,4
Chagall,1,1
Cleopatra,4,9
The Critic,1,1
Federico Fellini's 8½,2,5
How the West Was Won,3,8
Hud,3,7
Irma la Douce,1,3
"It's a Mad, Mad, Mad, Mad World",1,6
Lilies of the Field,1,5
An Occurrence at Owl Creek Bridge,1,8
Papa's Delicate Condition,1,1
Robert Frost: A Lover's Quarrel with the World,1,1
Tom Jones,4,10
The V.I.P.s,1,1
Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox),1,1
Days of Wine and Roses,1,5
Divorce Italian Style,1,3
Dylan Thomas,1,1
Happy Anniversary (Heureux Anniversaire),1,1
The Hole,1,1
Lawrence of Arabia,7,10
The Longest Day,2,5
The Miracle Worker,2,5
The Music Man,1,6
Sundays and Cybele (Le Dimanches de Ville d'Avray),1,3
Sweet Bird of Youth,1,3
To Kill a Mockingbird,3,8
What Ever Happened to Baby Jane?,1,5
The Wonderful World of the Brothers Grimm,1,4
A Force in Readiness,1,0
Breakfast at Tiffany's,2,5
La Dolce Vita,1,4
The Guns of Navarone,1,7
The Hustler,2,9
Judgment at Nuremberg,2,11
Project Hope,1,1
Seawards the Great Ships,1,1
Sky Above and Mud Beneath (Le Ciel et la boue),1,1
Splendor in the Grass,1,2
The Substitute,1,1
Through a Glass Darkly (Såsom i en spegel),1,2
Two Women (La Ciociara),1,1
West Side Story,10,11
The Alamo,1,7
The Apartment,5,10
BUtterfield 8,1,2
Day of the Painter,1,1
Elmer Gantry,3,5
Exodus,1,3
The Facts of Life,1,5
Giuseppina,1,1
The Horse with the Flying Tail,1,1
Munro,1,1
Never on Sunday (Pote tin Kyriaki),1,5
Pollyanna,1,0
Song Without End,1,1
Sons and Lovers,1,7
Spartacus,4,6
The Time Machine,1,1
The Virgin Spring (Jungfrukällan),1,2
Ben-Hur,11,12
Black Orpheus (Orfeu Negro),1,1
The Diary of Anne Frank,3,8
Glass (Glas),1,1
The Golden Fish (Histoire d'un poisson rouge),1,1
A Hole in the Head,1,1
Moonbird,1,1
Pillow Talk,1,5
Porgy and Bess,1,4
Room at the Top,2,6
Serengeti Shall Not Die (Serengeti darf nicht sterben),1,1
Some Like It Hot,1,6
Ama Girls,1,1
The Big Country,1,2
The Defiant Ones,2,9
Gigi,9,9
Grand Canyon,1,1
I Want to Live!,1,6
Knighty Knight Bugs,1,1
My Uncle (Mon oncle),1,1
The Old Man and the Sea,1,3
Separate Tables,2,7
South Pacific,1,3
tom thumb,1,1
White Wilderness,1,2
Albert Schweitzer,1,1
Birds Anonymous,1,1
The Bridge on the River Kwai,7,8
Designing Woman,1,1
The Enemy Below,1,1
The Joker Is Wild,1,1
Les Girls,1,3
Nights of Cabiria (Le Notti di Cabiria),1,1
Sayonara,4,10
The Three Faces of Eve,1,1
The Wetback Hound,1,1
Anastasia,1,2
Around the World in 80 Days,5,8
The Bespoke Overcoat,1,1
The Brave One,1,3
Crashing the Water Barrier,1,1
Giant,1,10
The King and I,5,9
Lust for Life,1,4
Magoo's Puddle Jumper,1,1
The Man Who Knew Too Much,1,1
The Red Balloon (Le ballon rouge),1,1
The Silent World (Le Monde du silence),1,1
The Solid Gold Cadillac,1,2
Somebody Up There Likes Me,2,3
La Strada (The Road),1,2
The Ten Commandments,1,7
The True Story of the Civil War,1,1
Written on the Wind,1,3
The Bridges at Toko-Ri,1,2
East of Eden,1,4
The Face of Lincoln,1,2
Helen Keller in Her Story (The Unconquered),1,1
I'll Cry Tomorrow,1,4
Interrupted Melody,1,3
Love Is a Many-Splendored Thing,3,8
Love Me or Leave Me,1,6
Marty,4,8
Men Against the Arctic,1,1
Mister Roberts,1,3
Oklahoma!,2,4
Picnic,2,6
The Rose Tattoo,3,8
Samurai I: Musashi Miyamoto (Miyamoto Musashi),1,0
Speedy Gonzales,1,1
Survival City,1,1
To Catch a Thief,1,3
"20,000 Leagues Under the Sea",2,3
The Barefoot Contessa,1,2
Broken Lance,1,2
The Country Girl,2,7
Gate of Hell (Jigokumon),2,1
The Glenn Miller Story,1,3
The High and the Mighty,1,6
The Little Kidnappers (The Kidnappers),2,0
On the Waterfront,8,12
Sabrina,1,6
Seven Brides for Seven Brothers,1,5
This Mechanical Age,1,1
Three Coins in the Fountain,2,3
Thursday's Children,1,1
A Time Out of War,1,1
The Vanishing Prairie,1,1
When Magoo Flew,1,1
The Alaskan Eskimo,1,1
Bear Country,1,1
Calamity Jane,1,3
Call Me Madam,1,2
From Here to Eternity,8,13
Julius Caesar,1,5
Lili,1,6
The Living Desert,1,1
Overture to The Merry Wives of Windsor,1,1
The Robe,2,5
Roman Holiday,3,10
Shane,1,6
Stalag 17,1,3
Titanic,1,2
"Toot, Whistle, Plunk and Boom",1,1
The War of the Worlds,1,3
The Bad and the Beautiful,5,6
Breaking the Sound Barrier,1,2
"Come Back, Little Sheba",1,3
Forbidden Games,1,1
The Greatest Show on Earth,2,5
High Noon,4,7
Johann Mouse,1,1
The Lavender Hill Mob,1,2
Light in the Window,1,1
Moulin Rouge,2,7
Neighbours,1,2
Plymouth Adventure,1,1
The Quiet Man,2,7
The Sea Around Us,1,1
Viva Zapata!,1,5
Water Birds,1,1
With a Song in My Heart,1,5
The African Queen,1,4
An American in Paris,6,8
Benjy,1,1
The Great Caruso,1,3
Here Comes the Groom,1,2
Nature's Half Acre,1,1
A Place in the Sun,6,9
Rashomon,1,1
Seven Days to Noon,1,1
A Streetcar Named Desire,4,12
The Two Mouseketeers,1,1
When Worlds Collide,1,2
World of Kids,1,1
All About Eve,6,14
Annie Get Your Gun,1,4
Born Yesterday,1,5
"Captain Carey, U.S.A.",1,1
Cyrano de Bergerac,1,1
Destination Moon,1,2
Gerald McBoing-Boing,1,1
Grandad of Races,1,1
Harvey,1,2
